x,y,theta
6.506506506506506415e-01,4.117253710987893445e-02,8.942198441055705660e-02
6.606606606606606480e-01,4.207396317381835449e-02,9.019595989471755615e-02
6.706706706706706544e-01,4.298317473123317717e-02,9.096477668006437700e-02
6.806806806806806609e-01,4.390011950347733061e-02,9.172817612914034580e-02
6.906906906906906674e-01,4.482474257303957488e-02,9.248589669861884133e-02
7.007007007007006738e-01,4.575698635265675052e-02,9.323767396931056939e-02
7.107107107107106803e-01,4.669679055472084062e-02,9.398324067767624412e-02
7.207207207207206867e-01,4.764409216099779742e-02,9.472232674883335202e-02
7.307307307307306932e-01,4.859882539267622314e-02,9.545465933108861212e-02
7.407407407407406996e-01,4.956092168076488974e-02,9.617996283200726249e-02
7.507507507507507061e-01,5.053030963685762461e-02,9.689795895600210318e-02
7.607607607607607125e-01,5.150691502428458163e-02,9.760836674348567776e-02
7.707707707707707190e-01,5.249066072966952767e-02,9.831090261157687804e-02
7.807807807807807254e-01,5.348146673491230990e-02,9.900528039635715649e-02
7.907907907907907319e-01,5.447925008961640447e-02,9.969121139671803522e-02
8.008008008008007383e-01,5.548392488398167649e-02,1.003684044197792058e-01
8.108108108108108558e-01,5.649540222218225188e-02,1.010365658278967321e-01
8.208208208208208623e-01,5.751359019625015140e-02,1.016953995872583033e-01
8.308308308308308687e-01,5.853839386048508703e-02,1.023446073180962340e-01
8.408408408408408752e-01,5.956971520641150819e-02,1.029838883464987004e-01
8.508508508508508816e-01,6.060745313830344372e-02,1.036129397578284678e-01
8.608608608608608881e-01,6.165150344929868492e-02,1.042314564517797248e-01
8.708708708708708945e-01,6.270175879812342479e-02,1.048391311990513469e-01
8.808808808808809010e-01,6.375810868644890550e-02,1.054356546996498278e-01
8.908908908908909074e-01,6.482043943690160570e-02,1.060207156428439185e-01
9.009009009009009139e-01,6.588863417174897763e-02,1.065940007687532221e-01
9.109109109109109204e-01,6.696257279228226555e-02,1.071551949315825009e-01
9.209209209209209268e-01,6.804213195891870014e-02,1.077039811645278677e-01
9.309309309309309333e-01,6.912718507204525242e-02,1.082400407463267739e-01
9.409409409409409397e-01,7.021760225362574936e-02,1.087630532694834756e-01
9.509509509509509462e-01,7.131325032959423549e-02,1.092726967101641661e-01
9.609609609609609526e-01,7.241399281305647972e-02,1.097686474997655870e-01
9.709709709709709591e-01,7.351968988832237317e-02,1.102505805981757459e-01
9.809809809809809655e-01,7.463019839579158876e-02,1.107181695687081552e-01
9.909909909909909720e-01,7.574537181771501260e-02,1.111710866547429566e-01
1.001001001001001089e+00,7.686506026485460941e-02,1.116090028580647153e-01
1.011011011011011096e+00,7.798911046406420411e-02,1.120315880189004382e-01
1.021021021021021102e+00,7.911736574681373091e-02,1.124385108976739683e-01
1.031031031031031109e+00,8.024966603867959847e-02,1.128294392584839045e-01
1.041041041041041115e+00,8.138584784982355602e-02,1.132040399542965231e-01
1.051051051051051122e+00,8.252574426648257022e-02,1.135619790138782670e-01
1.061061061061061128e+00,8.366918494349218083e-02,1.139029217304635966e-01
1.071071071071071135e+00,8.481599609786548422e-02,1.142265327521722190e-01
1.081081081081081141e+00,8.596600050345024058e-02,1.145324761741809833e-01
1.091091091091091148e+00,8.711901748668586520e-02,1.148204156326562558e-01
1.101101101101101154e+00,8.827486292348266095e-02,1.150900144004554093e-01
1.111111111111111160e+00,8.943334923724481633e-02,1.153409354846146317e-01
1.121121121121121167e+00,9.059428539805908231e-02,1.155728417256188245e-01
1.131131131131131173e+00,9.175747692307041625e-02,1.157853958984692844e-01
1.141141141141141180e+00,9.292272587806613138e-02,1.159782608155669609e-01
1.151151151151151186e+00,9.408983088028945174e-02,1.161510994314055717e-01
1.161161161161161193e+00,9.525858710250342809e-02,1.163035749490878706e-01
1.171171171171171199e+00,9.642878627832560112e-02,1.164353509286899097e-01
1.181181181181181206e+00,9.760021670885417333e-02,1.165460913974786239e-01
1.191191191191191212e+00,9.877266327060531259e-02,1.166354609619670440e-01
1.201201201201201219e+00,9.994590742478140499e-02,1.167031249218624250e-01
1.211211211211211225e+00,1.011197272278898940e-01,1.167487493858959252e-01
1.221221221221221231e+00,1.022938973437314547e-01,1.167720013895255371e-01
1.231231231231231238e+00,1.034681890567763080e-01,1.167725490145703066e-01
1.241241241241241244e+00,1.046423702869470201e-01,1.167500615107487510e-01
1.251251251251251251e+00,1.058162056058255390e-01,1.167042094191509255e-01
1.261261261261261257e+00,1.069894562543021316e-01,1.166346646976486046e-01
1.271271271271271264e+00,1.081618801616828773e-01,1.165411008482608035e-01
1.281281281281281270e+00,1.093332319662727870e-01,1.164231930464881826e-01
1.291291291291291277e+00,1.105032630374498670e-01,1.162806182726091875e-01
1.301301301301301283e+00,1.116717214992464235e-01,1.161130554449821689e-01
1.311311311311311290e+00,1.128383522554520374e-01,1.159201855553276539e-01
1.321321321321321296e+00,1.140028970162529492e-01,1.157016918060231880e-01
1.331331331331331302e+00,1.151650943264215382e-01,1.154572597494248759e-01
1.341341341341341309e+00,1.163246795950695633e-01,1.151865774291909728e-01
1.351351351351351315e+00,1.174813851269770476e-01,1.148893355236610819e-01
1.361361361361361322e+00,1.186349401555099048e-01,1.145652274912614399e-01
1.371371371371371328e+00,1.197850708771366623e-01,1.142139497179593954e-01
1.381381381381381335e+00,1.209315004875557154e-01,1.138352016667718014e-01
