x,y,theta
2.102102102102102066e+01,5.757809360130791143e-01,-2.544405064405593636e-02
2.122122122122122079e+01,5.705343293671933935e-01,-2.695992016151335657e-02
2.142142142142142447e+01,5.649825975665800915e-01,-2.849003240061488695e-02
2.162162162162162460e+01,5.591228620720438691e-01,-3.003437655438033829e-02
2.182182182182182473e+01,5.529522443443892765e-01,-3.159294137794565333e-02
2.202202202202202486e+01,5.464678658444204196e-01,-3.316571517960644616e-02
2.222222222222222499e+01,5.396668480329420703e-01,-3.475268581181855526e-02
2.242242242242242511e+01,5.325463123707586677e-01,-3.635384066215758408e-02
2.262262262262262524e+01,5.251033803186744287e-01,-3.796916664423980597e-02
2.282282282282282537e+01,5.173351733374939032e-01,-3.959865018860675434e-02
2.302302302302302550e+01,5.092388128880215303e-01,-4.124227723357595798e-02
2.322322322322322563e+01,5.008114204310621931e-01,-4.290003321606033343e-02
2.342342342342342576e+01,4.920501174274197753e-01,-4.457190306235876698e-02
2.362362362362362589e+01,4.829520253378989381e-01,-4.625787117892057182e-02
2.382382382382382602e+01,4.735142656233041203e-01,-4.795792144308642230e-02
2.402402402402402615e+01,4.637339597444399830e-01,-4.967203719380861027e-02
2.422422422422422628e+01,4.536082291621106322e-01,-5.140020122235366279e-02
2.442442442442442641e+01,4.431341953371207287e-01,-5.314239576298970813e-02
2.462462462462462653e+01,4.323089797302747117e-01,-5.489860248366214279e-02
2.482482482482482666e+01,4.211297038023773531e-01,-5.666880247666038900e-02
2.502502502502502679e+01,4.095934890142323148e-01,-5.845297624927886515e-02
2.522522522522522692e+01,3.976974568266448129e-01,-6.025110371447531948e-02
2.542542542542542705e+01,3.854387287004188423e-01,-6.206316418153003112e-02
2.562562562562562718e+01,3.728144260963595080e-01,-6.388913634670906339e-02
2.582582582582582731e+01,3.598216704752703610e-01,-6.572899828393471977e-02
2.602602602602602744e+01,3.464575832979563952e-01,-6.758272743546731021e-02
2.622622622622622757e+01,3.327192860252219386e-01,-6.945030060260122540e-02
2.642642642642642770e+01,3.186039001178717633e-01,-7.133169393637915634e-02
2.662662662662662783e+01,3.041085470367097532e-01,-7.322688292832801871e-02
2.682682682682682795e+01,2.892303482425406802e-01,-7.513584240122071767e-02
2.702702702702702808e+01,2.739664251961690944e-01,-7.705854649986709770e-02
2.722722722722722821e+01,2.583138993583993237e-01,-7.899496868193824073e-02
2.742742742742742834e+01,2.422698921900361402e-01,-8.094508170882816489e-02
2.762762762762762847e+01,2.258315251518832056e-01,-8.290885763655674034e-02
2.782782782782782860e+01,2.089959197047457362e-01,-8.488626780671779115e-02
2.802802802802802873e+01,1.917601973094280599e-01,-8.687728283747743474e-02
