Vehicle X,Vehicle Y,Vehicle_Yaw,Velocity X,Velocity Y,Cargo X,Cargo Y,Cargo Z
3.5600345,-0.013983155,-0.003629795,2.0996807,-0.019251868,3.4734597,-0.0130953295,1.349684
3.585169,-0.014218022,-0.0036952528,2.0897148,-0.019372402,3.4986012,-0.013324068,1.3496845
3.6101964,-0.014441085,-0.003754345,2.0911407,-0.018393956,3.5236356,-0.013543099,1.3496882
3.6354663,-0.014666739,-0.0038134987,2.1094635,-0.019109305,3.5488951,-0.013763707,1.3496909
3.6608806,-0.014916577,-0.00388299,2.1190064,-0.021482993,3.5743008,-0.014006009,1.3496907
3.6863067,-0.015202061,-0.003967962,2.1164112,-0.02457323,3.5997264,-0.014281797,1.3496894
3.711709,-0.015527231,-0.0040701097,2.1221488,-0.028005494,3.6251292,-0.014595471,1.3496904
3.7373679,-0.015896713,-0.004190869,2.1437387,-0.03172514,3.6507757,-0.014951609,1.3496934
3.763288,-0.016296111,-0.004323317,2.1653004,-0.033592097,3.6766818,-0.01533795,1.3496957
3.7894652,-0.016689979,-0.004450876,2.1869676,-0.03230807,3.7028437,-0.015721781,1.3497006
3.8158717,-0.017045073,-0.00455825,2.2030046,-0.028514456,3.7292373,-0.01607106,1.3497025
3.8423777,-0.017367529,-0.004649358,2.2097661,-0.02659791,3.7557383,-0.016388396,1.3496969
3.8689663,-0.017670793,-0.004730899,2.2197983,-0.02469589,3.7823224,-0.016686492,1.3496946
3.8956761,-0.017935716,-0.0047934796,2.223668,-0.02105194,3.8090289,-0.016948933,1.3496941
3.92229,-0.018170105,-0.0048417263,2.216289,-0.01929832,3.83565,-0.017181126,1.3496902
3.9489152,-0.018387869,-0.004882179,2.2243016,-0.017653326,3.8622758,-0.017396534,1.3496904
3.9758058,-0.01857207,-0.004905913,2.2464135,-0.0144719165,3.8891542,-0.017580824,1.3496945
4.0029616,-0.018734088,-0.004918554,2.268484,-0.013481992,3.9162958,-0.017742828,1.349697
4.0302653,-0.018911544,-0.00493822,2.2711337,-0.015366721,3.9435942,-0.017917024,1.3496997
4.057445,-0.019125246,-0.004974722,2.2671936,-0.018732393,3.9707804,-0.018124415,1.3497001
4.084684,-0.019385966,-0.0050320434,2.2681959,-0.022727948,3.9980192,-0.018376434,1.3496959
4.1119275,-0.01968638,-0.00510659,2.2758043,-0.025722316,4.025263,-0.018667478,1.3496923
